,away_+/-,away_2P,away_2P%,away_2PA,away_2PAr,away_3P,away_3P%,away_3PA,away_3PAr,away_AST,away_AST%,away_AST/TOV,away_BLK,away_BLK%,away_DRB,away_DRB%,away_DRBr,away_DRtg,away_FG,away_FG%,away_FGA,away_FIC,away_FT,away_FT%,away_FT/FGA,away_FTA,away_FTAr,away_FTr,away_HOB,away_ORB,away_ORB%,away_ORBr,away_ORtg,away_PF,away_PTS,away_STL,away_STL%,away_STL/TOV,away_TOV,away_TOV%,away_TRB,away_TRB%,away_TS%,away_TSA,away_USG%,away_eFG%,dbGameId,home_+/-,home_2P,home_2P%,home_2PA,home_2PAr,home_3P,home_3P%,home_3PA,home_3PAr,home_AST,home_AST%,home_AST/TOV,home_BLK,home_BLK%,home_DRB,home_DRB%,home_DRBr,home_DRtg,home_FG,home_FG%,home_FGA,home_FIC,home_FT,home_FT%,home_FT/FGA,home_FTA,home_FTAr,home_FTr,home_HOB,home_ORB,home_ORB%,home_ORBr,home_ORtg,home_PF,home_PTS,home_STL,home_STL%,home_STL/TOV,home_TOV,home_TOV%,home_TRB,home_TRB%,home_TS%,home_TSA,home_USG%,home_eFG%,rating
0,-4.0,28.0,0.538461538461538,52.0,0.693333333333333,7.0,0.30434782608695604,23.0,0.30666666666666603,19.0,54.3,1.583333333333333,4.0,6.3,31.0,60.8,0.720930232558139,126.4,35.0,0.46666666666666606,75.0,75.125,27.0,0.9310344827586201,0.36,29.0,0.38666666666666605,0.387,1.5428571428571431,12.0,35.3,0.27906976744186,121.7,20.0,104.0,2.0,2.3,0.16666666666666602,12.0,12.0,43.0,50.6,0.592525068368277,87.76,100.0,0.5133333333333331,20150324DET,4.0,28.0,0.4375,64.0,0.6881720430107521,12.0,0.413793103448275,29.0,0.31182795698924703,26.0,65.0,3.714285714285714,3.0,5.8,22.0,64.7,0.5238095238095231,121.7,40.0,0.43010752688172005,93.0,82.25,16.0,0.6666666666666661,0.17204301075268802,24.0,0.25806451612903203,0.258,1.65,20.0,39.2,0.47619047619047605,126.4,21.0,108.0,5.0,5.9,0.7142857142857141,7.0,6.3,42.0,49.4,0.521436848203939,103.56,100.0,0.49462365591397806,4
1,8.0,31.0,0.525423728813559,59.0,0.7763157894736841,6.0,0.35294117647058804,17.0,0.223684210526315,18.0,48.6,1.058823529411764,3.0,5.1,28.0,84.8,0.8484848484848481,91.4,37.0,0.486842105263157,76.0,67.125,19.0,0.6551724137931031,0.25,29.0,0.381578947368421,0.382,1.486486486486486,5.0,11.9,0.15151515151515102,99.5,22.0,99.0,17.0,17.1,1.0,17.0,16.1,33.0,44.0,0.557683641279855,88.76,100.0,0.5263157894736841,20150410NYK,-8.0,29.0,0.491525423728813,59.0,0.8194444444444441,5.0,0.384615384615384,13.0,0.18055555555555503,22.0,64.7,0.9166666666666661,5.0,8.5,37.0,88.1,0.88095238095238,99.5,34.0,0.47222222222222204,72.0,57.75,18.0,0.75,0.25,24.0,0.33333333333333304,0.333,1.647058823529411,5.0,15.2,0.11904761904761901,91.4,26.0,91.0,7.0,7.0,0.291666666666666,24.0,22.5,42.0,56.0,0.551114341085271,82.56,100.0,0.5069444444444441,0
2,-25.0,29.0,0.39189189189189105,74.0,0.8705882352941171,3.0,0.27272727272727204,11.0,0.129411764705882,16.0,50.0,1.4545454545454541,2.0,3.8,25.0,67.6,0.7142857142857141,121.6,32.0,0.37647058823529406,85.0,55.625,24.0,0.827586206896551,0.28235294117647003,29.0,0.341176470588235,0.341,1.5,10.0,19.6,0.28571428571428503,95.4,17.0,91.0,12.0,12.6,1.09090909090909,11.0,10.1,35.0,39.8,0.46542553191489305,97.76,100.0,0.394117647058823,20150408POR,25.0,30.0,0.5769230769230761,52.0,0.6117647058823531,12.0,0.36363636363636304,33.0,0.388235294117647,25.0,59.5,1.666666666666666,2.0,2.7,41.0,80.4,0.7735849056603771,95.4,42.0,0.49411764705882305,85.0,94.875,20.0,0.8695652173913041,0.23529411764705802,23.0,0.270588235294117,0.271,1.595238095238095,12.0,32.4,0.226415094339622,121.6,23.0,116.0,8.0,8.4,0.533333333333333,15.0,13.6,53.0,60.2,0.609756097560975,95.12,100.0,0.5647058823529411,3
3,21.0,34.0,0.5074626865671641,67.0,0.8481012658227841,7.0,0.583333333333333,12.0,0.151898734177215,22.0,53.7,2.2,2.0,3.4,30.0,78.9,0.769230769230769,92.7,41.0,0.518987341772151,79.0,76.625,14.0,0.7368421052631571,0.177215189873417,19.0,0.24050632911392403,0.241,1.5365853658536581,9.0,23.7,0.23076923076923,116.5,19.0,103.0,4.0,4.5,0.4,10.0,10.3,39.0,51.3,0.589514652014652,87.36,100.0,0.563291139240506,20150323NYK,-21.0,28.0,0.482758620689655,58.0,0.763157894736842,4.0,0.22222222222222202,18.0,0.23684210526315702,22.0,68.8,1.294117647058823,6.0,9.0,29.0,76.3,0.7837837837837831,116.5,32.0,0.421052631578947,76.0,54.375,14.0,0.8235294117647051,0.18421052631578902,17.0,0.223684210526315,0.224,1.6875,8.0,21.1,0.216216216216216,92.7,18.0,82.0,4.0,4.5,0.23529411764705802,17.0,16.9,37.0,48.7,0.49113560134163803,83.48,100.0,0.447368421052631,0
4,-12.0,28.0,0.482758620689655,58.0,0.6236559139784941,6.0,0.171428571428571,35.0,0.37634408602150504,25.0,73.5,1.7857142857142851,4.0,6.7,36.0,76.6,0.6923076923076921,103.8,34.0,0.36559139784946204,93.0,65.375,10.0,0.769230769230769,0.10752688172043001,13.0,0.13978494623655902,0.14,1.735294117647058,16.0,33.3,0.30769230769230704,90.8,22.0,84.0,9.0,9.7,0.642857142857142,14.0,12.4,52.0,54.7,0.42544570502431106,98.72,100.0,0.39784946236559104,20141207ATL,12.0,26.0,0.433333333333333,60.0,0.689655172413793,10.0,0.37037037037037,27.0,0.310344827586206,26.0,72.2,2.166666666666666,4.0,6.9,32.0,66.7,0.744186046511627,90.8,36.0,0.413793103448275,87.0,78.125,14.0,0.7368421052631571,0.160919540229885,19.0,0.21839080459770102,0.218,1.722222222222222,11.0,23.4,0.255813953488372,103.8,15.0,96.0,9.0,9.7,0.75,12.0,11.2,43.0,45.3,0.5033557046979861,95.36,100.0,0.47126436781609105,1
5,-2.0,31.0,0.516666666666666,60.0,0.6666666666666661,11.0,0.36666666666666603,30.0,0.33333333333333304,26.0,61.9,1.733333333333333,7.0,10.3,33.0,75.0,0.66,116.6,42.0,0.46666666666666606,90.0,94.5,13.0,0.7222222222222221,0.14444444444444401,18.0,0.2,0.2,1.619047619047619,17.0,38.6,0.34,114.5,20.0,108.0,11.0,11.7,0.7333333333333331,15.0,13.3,50.0,56.8,0.551470588235294,97.92,100.0,0.527777777777777,20150302BRK,2.0,34.0,0.5,68.0,0.764044943820224,10.0,0.47619047619047605,21.0,0.23595505617977502,20.0,45.5,1.5384615384615379,1.0,1.7000000000000002,27.0,61.4,0.710526315789473,114.5,44.0,0.49438202247191004,89.0,77.5,12.0,0.75,0.13483146067415702,16.0,0.179775280898876,0.18,1.4545454545454541,11.0,25.0,0.28947368421052605,116.6,12.0,110.0,7.0,7.4,0.538461538461538,13.0,11.9,38.0,43.2,0.572678050812161,96.04,100.0,0.550561797752809,1
6,-20.0,25.0,0.33783783783783705,74.0,0.88095238095238,3.0,0.30000000000000004,10.0,0.11904761904761901,23.0,82.1,1.916666666666666,13.0,20.6,36.0,76.6,0.75,101.7,28.0,0.33333333333333304,84.0,61.5,10.0,0.625,0.11904761904761901,16.0,0.19047619047619002,0.19,1.8214285714285712,12.0,24.0,0.25,78.9,17.0,69.0,7.0,8.0,0.583333333333333,12.0,11.6,48.0,49.5,0.378954305799648,91.04,100.0,0.35119047619047605,20150118SAS,20.0,23.0,0.365079365079365,63.0,0.7875000000000001,8.0,0.47058823529411703,17.0,0.21250000000000002,23.0,74.2,2.3,6.0,8.1,38.0,76.0,0.7755102040816321,78.9,31.0,0.3875,80.0,79.875,19.0,0.826086956521739,0.23750000000000002,23.0,0.28750000000000003,0.28800000000000003,1.741935483870967,11.0,23.4,0.224489795918367,101.7,14.0,89.0,8.0,9.1,0.8,10.0,10.0,49.0,50.5,0.49378606302707506,90.12,100.0,0.4375,2
7,28.0,32.0,0.5,64.0,0.7710843373493971,5.0,0.26315789473684204,19.0,0.228915662650602,21.0,56.8,2.625,5.0,8.8,38.0,79.2,0.7916666666666661,88.6,37.0,0.44578313253012003,83.0,88.0,27.0,0.9,0.32530120481927705,30.0,0.36144578313253,0.361,1.567567567567567,10.0,26.3,0.208333333333333,120.4,18.0,106.0,8.0,9.1,1.0,8.0,7.7,48.0,55.8,0.55093555093555,96.2,100.0,0.475903614457831,20150210CHO,-28.0,20.0,0.350877192982456,57.0,0.703703703703703,9.0,0.375,24.0,0.296296296296296,21.0,72.4,1.9090909090909092,9.0,14.1,28.0,73.7,0.7368421052631571,120.4,29.0,0.358024691358024,81.0,52.5,11.0,0.785714285714285,0.13580246913580202,14.0,0.17283950617283902,0.17300000000000001,1.7241379310344822,10.0,20.8,0.26315789473684204,88.6,21.0,78.0,1.0,1.1,0.09090909090909001,11.0,11.2,38.0,44.2,0.44745296007342805,87.16,100.0,0.41358024691358003,1
8,-6.0,33.0,0.5409836065573771,61.0,0.709302325581395,6.0,0.24,25.0,0.290697674418604,20.0,51.3,1.818181818181818,4.0,7.4,34.0,69.4,0.85,110.8,39.0,0.45348837209302306,86.0,66.0,25.0,0.7812500000000001,0.290697674418604,32.0,0.372093023255813,0.372,1.5128205128205119,6.0,13.3,0.15,105.0,40.0,109.0,9.0,8.7,0.818181818181818,11.0,9.9,40.0,42.6,0.5445643485211831,100.08,100.0,0.488372093023255,20150506HOU,6.0,29.0,0.5370370370370371,54.0,0.675,5.0,0.192307692307692,26.0,0.325,20.0,58.8,1.428571428571428,10.0,16.4,39.0,86.7,0.7222222222222221,105.0,34.0,0.425,80.0,83.75,42.0,0.65625,0.525,64.0,0.8,0.8,1.5882352941176472,15.0,30.6,0.277777777777777,110.8,27.0,115.0,6.0,5.8,0.42857142857142805,14.0,11.5,54.0,57.4,0.531619822485207,108.16,100.0,0.45625000000000004,3
9,-5.0,27.0,0.43548387096774105,62.0,0.738095238095238,8.0,0.36363636363636304,22.0,0.26190476190476103,23.0,65.7,2.090909090909091,11.0,22.4,29.0,74.4,0.7435897435897431,104.8,35.0,0.416666666666666,84.0,75.125,14.0,0.7368421052631571,0.16666666666666602,19.0,0.22619047619047603,0.226,1.657142857142857,10.0,21.3,0.256410256410256,99.4,23.0,92.0,10.0,10.8,0.9090909090909091,11.0,10.6,39.0,45.3,0.49805110437418804,92.36,100.0,0.464285714285714,20150303CHI,5.0,24.0,0.48979591836734604,49.0,0.6282051282051281,9.0,0.310344827586206,29.0,0.37179487179487103,20.0,60.6,1.25,7.0,11.3,37.0,78.7,0.7872340425531911,99.4,33.0,0.423076923076923,78.0,73.0,22.0,0.7333333333333331,0.28205128205128205,30.0,0.384615384615384,0.385,1.606060606060606,10.0,25.6,0.212765957446808,104.8,16.0,97.0,5.0,5.4,0.3125,16.0,14.9,47.0,54.7,0.531798245614035,91.2,100.0,0.48076923076923006,3
