awayTeamId,awayTeamScore,gameDate,gameId,gameRating,gameStars,homeTeamId,homeTeamScore,ratingDown,ratingPercentage,ratingUp
DAL,100,2014-10-28,20141028DALSAS,7,7,SAS,101,0,–,0
ORL,84,2014-10-28,20141028ORLNOP,2,2,NOP,101,0,–,0
HOU,108,2014-10-28,20141028HOULAL,3,3,LAL,90,0,–,0
MIL,106,2014-10-29,20141029MILCHA,10,10,CHA,108,0,–,0
PHI,91,2014-10-29,20141029PHIIND,3,3,IND,103,0,–,0
ATL,102,2014-10-29,20141029ATLTOR,3,3,TOR,109,0,–,0
BKN,105,2014-10-29,20141029BKNBOS,2,2,BOS,121,0,–,0
WAS,95,2014-10-29,20141029WASMIA,3,3,MIA,107,0,–,0
CHI,104,2014-10-29,20141029CHINYK,1,1,NYK,80,0,–,0
MIN,101,2014-10-29,20141029MINMEM,6,6,MEM,105,0,–,0
DET,79,2014-10-29,20141029DETDEN,5,5,DEN,89,0,–,0
HOU,104,2014-10-29,20141029HOUUTA,3,3,UTA,93,0,–,0
GSW,95,2014-10-29,20141029GSWSAC,3,3,SAC,77,0,–,0
LAL,99,2014-10-29,20141029LALPHX,1,1,PHX,119,0,–,0
OKC,89,2014-10-29,20141029OKCPOR,4,4,POR,106,0,–,0
WAS,105,2014-10-30,20141030WASORL,3,3,ORL,98,0,–,0
DET,91,2014-10-30,20141030DETMIN,5,5,MIN,97,0,–,0
NYK,95,2014-10-30,20141030NYKCLE,5,5,CLE,90,0,–,0
UTA,102,2014-10-30,20141030UTADAL,2,2,DAL,120,0,–,0
OKC,90,2014-10-30,20141030OKCLAC,8,8,LAC,93,0,–,0
MEM,97,2014-10-31,20141031MEMIND,7,7,IND,89,0,–,0
CLE,114,2014-10-31,20141031CLECHI,7,7,CHI,108,0,–,0
PHI,81,2014-10-31,20141031PHIMIL,2,2,MIL,93,0,–,0
POR,94,2014-10-31,20141031PORSAC,3,3,SAC,103,0,–,0
SAS,89,2014-10-31,20141031SASPHX,8,8,PHX,94,0,–,0
LAC,118,2014-10-31,20141031LACLAL,5,5,LAL,111,0,–,0
DAL,109,2014-11-01,20141101DALNOP,3,3,NOP,104,0,–,0
MEM,71,2014-11-01,20141101MEMCHA,6,6,CHA,69,0,–,0
MIA,114,2014-11-01,20141101MIAPHI,3,3,PHI,96,0,–,0
MIL,97,2014-11-01,20141101MILWAS,2,2,WAS,108,0,–,0
TOR,108,2014-11-01,20141101TORORL,2,2,ORL,95,0,–,0
BKN,102,2014-11-01,20141101BKNDET,3,3,DET,90,0,–,0
IND,92,2014-11-01,20141101INDATL,3,3,ATL,102,0,–,0
BOS,90,2014-11-01,20141101BOSHOU,3,3,HOU,104,0,–,0
CHI,106,2014-11-01,20141101CHIMIN,7,7,MIN,105,0,–,0
DEN,91,2014-11-01,20141101DENOKC,3,3,OKC,102,0,–,0
PHX,91,2014-11-01,20141101PHXUTA,1,1,UTA,118,0,–,0
LAL,104,2014-11-01,20141101LALGSW,2,2,GSW,127,0,–,0
SAC,98,2014-11-02,20141102SACLAC,6,6,LAC,92,0,–,0
TOR,102,2014-11-02,20141102TORMIA,4,4,MIA,107,0,–,0
CHA,93,2014-11-02,20141102CHANYK,6,6,NYK,96,0,–,0
GSW,95,2014-11-02,20141102GSWPOR,5,5,POR,90,0,–,0
HOU,104,2014-11-03,20141103HOUPHI,3,3,PHI,93,0,–,0
OKC,85,2014-11-03,20141103OKCBKN,2,2,BKN,116,0,–,0
NOP,81,2014-11-03,20141103NOPMEM,2,2,MEM,93,0,–,0
BOS,113,2014-11-03,20141103BOSDAL,4,4,DAL,118,0,–,0
SAC,110,2014-11-03,20141103SACDEN,7,7,DEN,105,0,–,0
UTA,101,2014-11-03,20141103UTALAC,4,4,LAC,107,0,–,0
MIL,87,2014-11-04,20141104MILIND,4,4,IND,81,0,–,0
HOU,108,2014-11-04,20141104HOUMIA,4,4,MIA,91,0,–,0
OKC,88,2014-11-04,20141104OKCTOR,3,3,TOR,100,0,–,0
WAS,98,2014-11-04,20141104WASNYK,2,2,NYK,83,0,–,0
CHA,91,2014-11-04,20141104CHANOP,2,2,NOP,100,0,–,0
ORL,90,2014-11-04,20141104ORLCHI,4,4,CHI,98,0,–,0
CLE,82,2014-11-04,20141104CLEPOR,3,3,POR,101,0,–,0
PHX,112,2014-11-04,20141104PHXLAL,4,4,LAL,106,0,–,0
MIA,89,2014-11-05,20141105MIACHA,4,4,CHA,96,0,–,0
ORL,91,2014-11-05,20141105ORLPHI,6,6,PHI,89,0,–,0
MIN,98,2014-11-05,20141105MINBKN,4,4,BKN,91,0,–,0
NYK,95,2014-11-05,20141105NYKDET,7,7,DET,98,0,–,0
TOR,110,2014-11-05,20141105TORBOS,10,10,BOS,107,0,–,0
CHI,95,2014-11-05,20141105CHIMIL,4,4,MIL,86,0,–,0
IND,94,2014-11-05,20141105INDWAS,7,7,WAS,96,0,–,0
ATL,92,2014-11-05,20141105ATLSAS,7,7,SAS,94,0,–,0
CLE,100,2014-11-05,20141105CLEUTA,6,6,UTA,102,0,–,0
MEM,102,2014-11-05,20141105MEMPHX,2,2,PHX,91,0,–,0
DEN,109,2014-11-05,20141105DENSAC,2,2,SAC,131,0,–,0
LAC,104,2014-11-05,20141105LACGSW,4,4,GSW,121,0,–,0
SAS,81,2014-11-06,20141106SASHOU,4,4,HOU,98,0,–,0
DAL,87,2014-11-06,20141106DALPOR,2,2,POR,108,0,–,0
ATL,119,2014-11-07,20141107ATLCHA,10,10,CHA,122,0,–,0
CHI,118,2014-11-07,20141107CHIPHI,7,7,PHI,115,0,–,0
MIN,103,2014-11-07,20141107MINORL,7,7,ORL,112,0,–,0
IND,98,2014-11-07,20141107INDBOS,5,5,BOS,101,0,–,0
MIL,95,2014-11-07,20141107MILDET,5,5,DET,98,0,–,0
NYK,99,2014-11-07,20141107NYKBKN,2,2,BKN,110,0,–,0
WAS,84,2014-11-07,20141107WASTOR,2,2,TOR,103,0,–,0
MEM,91,2014-11-07,20141107MEMOKC,7,7,OKC,89,0,–,0
DAL,105,2014-11-07,20141107DALUTA,1,1,UTA,82,0,–,0
SAC,114,2014-11-07,20141107SACPHX,10,10,PHX,112,0,–,0
CLE,110,2014-11-07,20141107CLEDEN,2,2,DEN,101,0,–,0
POR,102,2014-11-08,20141108PORLAC,9,9,LAC,106,0,–,0
WAS,97,2014-11-08,20141108WASIND,4,4,IND,90,0,–,0
MIN,92,2014-11-08,20141108MINMIA,4,4,MIA,102,0,–,0
NYK,96,2014-11-08,20141108NYKATL,7,7,ATL,103,0,–,0
BOS,106,2014-11-08,20141108BOSCHI,3,3,CHI,101,0,–,0
GSW,98,2014-11-08,20141108GSWHOU,4,4,HOU,87,0,–,0
MEM,92,2014-11-08,20141108MEMMIL,6,6,MIL,93,0,–,0
NOP,100,2014-11-08,20141108NOPSAS,7,7,SAS,99,0,–,0
ORL,96,2014-11-09,20141109ORLBKN,4,4,BKN,104,0,–,0
UTA,97,2014-11-09,20141109UTADET,7,7,DET,96,0,–,0
PHI,88,2014-11-09,20141109PHITOR,1,1,TOR,120,0,–,0
SAC,93,2014-11-09,20141109SACOKC,3,3,OKC,101,0,–,0
MIA,105,2014-11-09,20141109MIADAL,3,3,DAL,96,0,–,0
GSW,95,2014-11-09,20141109GSWPHX,7,7,PHX,107,0,–,0
DEN,100,2014-11-09,20141109DENPOR,3,3,POR,116,0,–,0
CHA,92,2014-11-09,20141109CHALAL,2,2,LAL,107,0,–,0
NOP,111,2014-11-10,20141110NOPCLE,8,8,CLE,118,0,–,0
UTA,86,2014-11-10,20141110UTAIND,5,5,IND,97,0,–,0
ATL,91,2014-11-10,20141110ATLNYK,7,7,NYK,85,0,–,0
DET,91,2014-11-10,20141110DETCHI,3,3,CHI,102,0,–,0
SAS,89,2014-11-10,20141110SASLAC,7,7,LAC,85,0,–,0
ORL,100,2014-11-11,20141111ORLTOR,5,5,TOR,104,0,–,0
LAL,102,2014-11-11,20141111LALMEM,3,3,MEM,107,0,–,0
OKC,78,2014-11-11,20141111OKCMIL,6,6,MIL,85,0,–,0
SAC,98,2014-11-11,20141111SACDAL,7,7,DAL,106,0,–,0
CHA,100,2014-11-11,20141111CHAPOR,10,10,POR,102,0,–,0
SAS,113,2014-11-11,20141111SASGSW,4,4,GSW,100,0,–,0
DET,103,2014-11-12,20141112DETWAS,8,8,WAS,107,0,–,0
IND,81,2014-11-12,20141112INDMIA,7,7,MIA,75,0,–,0
OKC,109,2014-11-12,20141112OKCBOS,7,7,BOS,94,0,–,0
ORL,97,2014-11-12,20141112ORLNYK,6,6,NYK,95,0,–,0
UTA,97,2014-11-12,20141112UTAATL,8,8,ATL,100,0,–,0
LAL,102,2014-11-12,20141112LALNOP,3,3,NOP,109,0,–,0
BKN,104,2014-11-12,20141112BKNPHX,7,7,PHX,112,0,–,0
POR,130,2014-11-12,20141112PORDEN,4,4,DEN,113,0,–,0
HOU,113,2014-11-12,20141112HOUMIN,4,4,MIN,101,0,–,0
CHI,100,2014-11-13,20141113CHITOR,3,3,TOR,93,0,–,0
SAC,110,2014-11-13,20141113SACMEM,10,10,MEM,111,0,–,0
PHI,70,2014-11-13,20141113PHIDAL,1,1,DAL,123,0,–,0
BKN,99,2014-11-13,20141113BKNGSW,3,3,GSW,107,0,–,0
DEN,108,2014-11-14,20141114DENIND,2,2,IND,87,0,–,0
MIL,85,2014-11-14,20141114MILORL,6,6,ORL,101,0,–,0
CLE,122,2014-11-14,20141114CLEBOS,10,10,BOS,121,0,–,0
MIA,103,2014-11-14,20141114MIAATL,3,3,ATL,114,0,–,0
UTA,102,2014-11-14,20141114UTANYK,4,4,NYK,100,0,–,0
DET,96,2014-11-14,20141114DETOKC,7,7,OKC,89,0,–,0
