game_id,attendance,h_assists,h_biggestLead,h_blocks,h_defReb,h_fastBreakPoints,h_fga,h_fgm,h_fgp,h_fta,h_ftm,h_ftp,h_linescore_p1,h_linescore_p2,h_linescore_p3,h_linescore_p4,h_longestRun,h_loss,h_max_player_assists,h_max_player_points,h_max_player_rebounds,h_offReb,h_pFouls,h_plusMinus,h_points,h_pointsInPaint,h_pointsOffTurnovers,h_score,h_secondChancePoints,h_seriesLoss,h_seriesWin,h_steals,h_teamId,h_tpa,h_tpm,h_tpp,h_turnovers,h_win,isBuzzerBeater,leadChanges,period_current,timesTied,v_assists,v_biggestLead,v_blocks,v_defReb,v_fastBreakPoints,v_fga,v_fgm,v_fgp,v_fta,v_ftm,v_ftp,v_linescore_p1,v_linescore_p2,v_linescore_p3,v_linescore_p4,v_longestRun,v_loss,v_max_player_assists,v_max_player_points,v_max_player_rebounds,v_offReb,v_pFouls,v_plusMinus,v_points,v_pointsInPaint,v_pointsOffTurnovers,v_score,v_secondChancePoints,v_seriesLoss,v_seriesWin,v_steals,v_teamId,v_tpa,v_tpm,v_tpp,v_turnovers,v_win,date,d,ups,game_rating,game_star,rating_down,rating_percentage,rating_up
11500001,14245,22.0,21.0,6.0,30.0,19.0,91.0,37.0,40.7,26.0,20.0,76.9,22.0,34.0,28.0,19.0,0.0,0.0,9.0,15.0,12.0,9.0,15.0,7.0,103.0,38.0,23.0,103,0.0,0.0,0.0,12.0,1610612746.0,32.0,9.0,28.1,13.0,1.0,0.0,0.0,4.0,2.0,16.0,0.0,2.0,43.0,18.0,87.0,37.0,42.5,20.0,15.0,75.0,17.0,25.0,23.0,31.0,0.0,1.0,7.0,16.0,13.0,14.0,26.0,-7.0,96.0,46.0,12.0,96.0,0.0,0.0,0.0,9.0,1610612743.0,18.0,7.0,38.9,23.0,0.0,20151002.0,2015-10-02,,,,,,
11500002,14942,22.0,12.0,3.0,33.0,13.0,89.0,39.0,43.8,19.0,16.0,84.2,29.0,22.0,25.0,24.0,0.0,1.0,5.0,23.0,8.0,12.0,30.0,-6.0,100.0,40.0,18.0,100,0.0,0.0,0.0,11.0,1610612753.0,26.0,6.0,23.1,12.0,0.0,0.0,3.0,4.0,2.0,30.0,14.0,2.0,34.0,9.0,75.0,34.0,45.3,35.0,26.0,74.3,24.0,24.0,37.0,21.0,0.0,0.0,8.0,17.0,9.0,7.0,15.0,6.0,106.0,32.0,13.0,106.0,0.0,0.0,0.0,7.0,1610612766.0,31.0,12.0,38.7,13.0,1.0,20151003.0,2015-10-03,,,,,,
11500003,13725,21.0,4.0,16.0,44.0,19.0,92.0,38.0,41.3,31.0,19.0,61.3,28.0,25.0,22.0,30.0,0.0,1.0,4.0,18.0,8.0,18.0,27.0,-5.0,105.0,38.0,9.0,105,0.0,0.0,0.0,10.0,1610612754.0,35.0,10.0,28.6,19.0,0.0,0.0,2.0,4.0,5.0,16.0,18.0,3.0,36.0,22.0,103.0,37.0,35.9,37.0,25.0,67.6,36.0,31.0,22.0,21.0,0.0,0.0,3.0,18.0,8.0,19.0,22.0,5.0,110.0,42.0,25.0,110.0,0.0,0.0,0.0,9.0,1610612740.0,32.0,11.0,34.4,11.0,1.0,20151003.0,2015-10-03,,,,,,
11500004,10300,11.0,13.0,6.0,34.0,12.0,90.0,26.0,28.9,21.0,13.0,61.9,16.0,22.0,21.0,12.0,0.0,1.0,4.0,14.0,10.0,14.0,31.0,-19.0,71.0,32.0,18.0,71,0.0,0.0,0.0,8.0,1610612747.0,23.0,6.0,26.1,13.0,0.0,0.0,4.0,4.0,7.0,20.0,19.0,4.0,48.0,17.0,73.0,27.0,37.0,48.0,34.0,70.8,18.0,15.0,24.0,33.0,0.0,0.0,6.0,16.0,9.0,12.0,21.0,19.0,90.0,40.0,13.0,90.0,0.0,0.0,0.0,9.0,1610612762.0,15.0,2.0,13.3,14.0,1.0,20151004.0,2015-10-04,,,,,,
11500005,19000,11.0,23.0,6.0,39.0,18.0,73.0,31.0,42.5,36.0,29.0,80.6,24.0,16.0,37.0,16.0,0.0,0.0,2.0,26.0,12.0,9.0,25.0,20.0,93.0,40.0,28.0,93,0.0,0.0,0.0,12.0,1610612761.0,11.0,2.0,18.2,19.0,1.0,0.0,2.0,4.0,3.0,16.0,5.0,3.0,28.0,10.0,71.0,27.0,38.0,20.0,14.0,70.0,16.0,18.0,28.0,11.0,0.0,1.0,8.0,15.0,10.0,5.0,29.0,-20.0,73.0,26.0,18.0,73.0,0.0,0.0,0.0,6.0,1610612746.0,15.0,5.0,33.3,24.0,1.0,20151004.0,2015-10-04,,,,,,
11500006,19600,19.0,4.0,4.0,39.0,19.0,81.0,30.0,37.0,20.0,14.0,70.0,22.0,24.0,17.0,14.0,0.0,1.0,6.0,14.0,7.0,9.0,24.0,-13.0,77.0,40.0,16.0,77,0.0,0.0,0.0,9.0,1610612748.0,16.0,3.0,18.8,14.0,0.0,0.0,8.0,4.0,3.0,13.0,13.0,1.0,45.0,6.0,74.0,26.0,35.1,31.0,26.0,83.9,26.0,23.0,20.0,21.0,0.0,0.0,3.0,21.0,17.0,7.0,19.0,13.0,90.0,18.0,22.0,90.0,0.0,0.0,0.0,7.0,1610612766.0,29.0,12.0,41.4,16.0,2.0,20151004.0,2015-10-04,,,,,,
11500007,14976,24.0,21.0,4.0,33.0,16.0,99.0,42.0,42.4,16.0,11.0,68.8,24.0,32.0,26.0,15.0,0.0,1.0,4.0,17.0,11.0,19.0,30.0,-4.0,105.0,40.0,27.0,105,0.0,0.0,0.0,11.0,1610612757.0,31.0,10.0,32.3,23.0,0.0,0.0,6.0,5.0,4.0,25.0,4.0,5.0,36.0,16.0,91.0,42.0,46.2,28.0,18.0,64.3,18.0,23.0,27.0,29.0,0.0,0.0,10.0,32.0,9.0,14.0,18.0,4.0,109.0,46.0,24.0,109.0,0.0,0.0,0.0,10.0,1610612758.0,26.0,7.0,26.9,23.0,1.0,20151005.0,2015-10-05,,,,,,
11500008,6857,16.0,5.0,7.0,27.0,12.0,81.0,35.0,43.2,28.0,19.0,67.9,26.0,26.0,20.0,24.0,0.0,1.0,5.0,18.0,16.0,13.0,19.0,-5.0,96.0,34.0,23.0,96,0.0,0.0,0.0,12.0,1610612751.0,18.0,7.0,38.9,11.0,0.0,0.0,8.0,4.0,8.0,26.0,10.0,4.0,30.0,6.0,76.0,37.0,48.7,18.0,16.0,88.9,25.0,31.0,26.0,19.0,0.0,0.0,11.0,18.0,8.0,10.0,23.0,5.0,101.0,34.0,16.0,101.0,0.0,0.0,0.0,7.0,12321.0,21.0,11.0,52.4,18.0,0.0,20151005.0,2015-10-05,201.0,,,,,
11500009,18223,29.0,13.0,7.0,33.0,16.0,70.0,35.0,50.0,24.0,18.0,75.0,22.0,31.0,17.0,25.0,0.0,0.0,5.0,15.0,6.0,4.0,22.0,8.0,95.0,40.0,21.0,95,0.0,0.0,0.0,8.0,1610612744.0,17.0,7.0,41.2,17.0,1.0,0.0,10.0,4.0,6.0,15.0,7.0,0.0,33.0,11.0,85.0,32.0,37.6,23.0,19.0,82.6,21.0,25.0,15.0,26.0,0.0,1.0,4.0,15.0,10.0,15.0,19.0,-8.0,87.0,38.0,23.0,87.0,0.0,0.0,0.0,10.0,1610612761.0,16.0,4.0,25.0,14.0,1.0,20151005.0,2015-10-05,83.0,,,,,
11500010,10300,16.0,9.0,4.0,27.0,10.0,83.0,36.0,43.4,46.0,35.0,76.1,24.0,24.0,30.0,27.0,0.0,2.0,4.0,20.0,11.0,14.0,31.0,-3.0,114.0,44.0,31.0,114,0.0,1.0,0.0,9.0,1610612747.0,26.0,7.0,26.9,19.0,0.0,0.0,13.0,5.0,11.0,27.0,19.0,5.0,32.0,16.0,81.0,41.0,50.6,38.0,26.0,68.4,35.0,14.0,29.0,27.0,0.0,0.0,6.0,27.0,8.0,13.0,40.0,3.0,117.0,54.0,24.0,117.0,0.0,0.0,1.0,13.0,1610612762.0,23.0,9.0,39.1,22.0,2.0,20151007.0,2015-10-07,166.0,,,,,
