awayTeamId,awayTeamScore,gameDate,gameId,gameRating,gameStars,homeTeamId,homeTeamScore
WAS,84,2012-10-30,20121030WASCLE,1,1,CLE,94
BOS,107,2012-10-30,20121030BOSMIA,4,4,MIA,120
DAL,99,2012-10-30,20121030DALLAL,2,2,LAL,91
DEN,75,2012-10-31,20121031DENPHI,2,2,PHI,84
IND,90,2012-10-31,20121031INDTOR,5,5,TOR,88
HOU,105,2012-10-31,20121031HOUDET,3,3,DET,96
SAC,87,2012-10-31,20121031SACCHI,2,2,CHI,93
SAS,99,2012-10-31,20121031SASNOH,5,5,NOH,95
DAL,94,2012-10-31,20121031DALUTA,1,1,UTA,113
GSW,87,2012-10-31,20121031GSWPHX,6,6,PHX,85
LAL,106,2012-10-31,20121031LALPOR,3,3,POR,116
MEM,92,2012-10-31,20121031MEMLAC,2,2,LAC,101
OKC,84,2012-11-01,20121101OKCSAS,7,7,SAS,86
DEN,89,2012-11-02,20121102DENORL,2,2,ORL,102
IND,89,2012-11-02,20121102INDCHA,5,5,CHA,90
CHI,115,2012-11-02,20121102CHICLE,0,1,CLE,86
HOU,109,2012-11-02,20121102HOUATL,3,3,ATL,102
MIL,99,2012-11-02,20121102MILBOS,2,2,BOS,88
MIA,84,2012-11-02,20121102MIANYK,2,2,NYK,104
POR,92,2012-11-02,20121102POROKC,2,2,OKC,106
SAC,80,2012-11-02,20121102SACMIN,2,2,MIN,92
UTA,86,2012-11-02,20121102UTANOH,5,5,NOH,88
DET,89,2012-11-02,20121102DETPHX,5,5,PHX,92
LAC,105,2012-11-02,20121102LACLAL,3,3,LAL,95
MEM,104,2012-11-02,20121102MEMGSW,1,1,GSW,94
BOS,89,2012-11-03,20121103BOSWAS,6,6,WAS,86
SAC,98,2012-11-03,20121103SACIND,5,5,IND,106
DEN,116,2012-11-03,20121103DENMIA,8,8,MIA,119
TOR,100,2012-11-03,20121103TORBKN,3,3,BKN,107
NOH,89,2012-11-03,20121103NOHCHI,4,4,CHI,82
POR,95,2012-11-03,20121103PORHOU,8,8,HOU,85
CHA,99,2012-11-03,20121103CHADAL,0,1,DAL,126
CLE,102,2012-11-03,20121103CLEMIL,7,7,MIL,105
UTA,100,2012-11-03,20121103UTASAS,2,2,SAS,110
GSW,114,2012-11-03,20121103GSWLAC,4,4,LAC,110
PHI,84,2012-11-04,20121104PHINYK,2,2,NYK,100
MIN,86,2012-11-04,20121104MINTOR,2,2,TOR,105
PHX,94,2012-11-04,20121104PHXORL,4,4,ORL,115
ATL,104,2012-11-04,20121104ATLOKC,4,4,OKC,95
DET,79,2012-11-04,20121104DETLAL,1,1,LAL,108
NYK,110,2012-11-05,20121105NYKPHI,1,1,PHI,88
MIN,107,2012-11-05,20121105MINBKN,9,9,BKN,96
PHX,99,2012-11-05,20121105PHXMIA,1,1,MIA,124
UTA,94,2012-11-05,20121105UTAMEM,5,5,MEM,103
IND,79,2012-11-05,20121105INDSAS,1,1,SAS,101
POR,91,2012-11-05,20121105PORDAL,0,1,DAL,114
GSW,92,2012-11-05,20121105GSWSAC,5,5,SAC,94
CLE,108,2012-11-05,20121105CLELAC,3,3,LAC,101
ORL,93,2012-11-06,20121106ORLCHI,4,4,CHI,99
TOR,88,2012-11-06,20121106TOROKC,1,1,OKC,108
DET,97,2012-11-06,20121106DETDEN,2,2,DEN,109
PHX,117,2012-11-07,20121107PHXCHA,3,3,CHA,110
BKN,73,2012-11-07,20121107BKNMIA,2,2,MIA,103
IND,86,2012-11-07,20121107INDATL,7,7,ATL,89
WAS,94,2012-11-07,20121107WASBOS,7,7,BOS,100
DEN,93,2012-11-07,20121107DENHOU,4,4,HOU,87
MEM,108,2012-11-07,20121107MEMMIL,1,1,MIL,90
ORL,75,2012-11-07,20121107ORLMIN,2,2,MIN,90
PHI,77,2012-11-07,20121107PHINOH,1,1,NOH,62
TOR,104,2012-11-07,20121107TORDAL,2,2,DAL,109
LAL,86,2012-11-07,20121107LALUTA,2,2,UTA,95
DET,103,2012-11-07,20121107DETSAC,5,5,SAC,105
CLE,96,2012-11-07,20121107CLEGSW,1,1,GSW,106
SAS,84,2012-11-07,20121107SASLAC,2,2,LAC,106
OKC,97,2012-11-08,20121108OKCCHI,5,5,CHI,91
LAC,103,2012-11-08,20121108LACPOR,2,2,POR,90
BKN,107,2012-11-09,20121109BKNORL,1,1,ORL,68
MIL,101,2012-11-09,20121109MILWAS,5,5,WAS,91
DAL,94,2012-11-09,20121109DALNYK,2,2,NYK,104
MIA,95,2012-11-09,20121109MIAATL,5,5,ATL,89
PHI,106,2012-11-09,20121109PHIBOS,3,3,BOS,100
CHA,99,2012-11-09,20121109CHANOH,1,1,NOH,107
DET,94,2012-11-09,20121109DETOKC,2,2,OKC,105
HOU,85,2012-11-09,20121109HOUMEM,2,2,MEM,93
IND,94,2012-11-09,20121109INDMIN,6,6,MIN,96
CLE,105,2012-11-09,20121109CLEPHX,8,8,PHX,107
SAS,97,2012-11-09,20121109SASSAC,2,2,SAC,86
GSW,77,2012-11-09,20121109GSWLAL,1,1,LAL,101
UTA,84,2012-11-09,20121109UTADEN,1,1,DEN,104
PHI,93,2012-11-10,20121110PHITOR,1,1,TOR,83
WAS,85,2012-11-10,20121110WASIND,4,4,IND,89
DAL,97,2012-11-10,20121110DALCHA,8,8,CHA,101
DET,82,2012-11-10,20121110DETHOU,2,2,HOU,96
MIN,80,2012-11-10,20121110MINCHI,5,5,CHI,87
BOS,96,2012-11-10,20121110BOSMIL,5,5,MIL,92
PHX,81,2012-11-10,20121110PHXUTA,1,1,UTA,94
SAS,112,2012-11-10,20121110SASPOR,9,9,POR,109
DEN,107,2012-11-10,20121110DENGSW,9,9,GSW,101
ORL,74,2012-11-11,20121111ORLBKN,2,2,BKN,82
ATL,76,2012-11-11,20121111ATLLAC,2,2,LAC,89
MIA,86,2012-11-11,20121111MIAMEM,2,2,MEM,104
CLE,91,2012-11-11,20121111CLEOKC,2,2,OKC,106
SAC,90,2012-11-11,20121111SACLAL,2,2,LAL,103
MIL,105,2012-11-12,20121112MILPHI,1,1,PHI,96
UTA,140,2012-11-12,20121112UTATOR,8,8,TOR,133
OKC,92,2012-11-12,20121112OKCDET,8,8,DET,90
BOS,101,2012-11-12,20121112BOSCHI,3,3,CHI,95
MIA,113,2012-11-12,20121112MIAHOU,8,8,HOU,110
MIN,90,2012-11-12,20121112MINDAL,2,2,DAL,82
DEN,100,2012-11-12,20121112DENPHX,4,4,PHX,110
ATL,95,2012-11-12,20121112ATLPOR,1,1,POR,87
NYK,99,2012-11-13,20121113NYKORL,2,2,ORL,89
TOR,74,2012-11-13,20121113TORIND,5,5,IND,72
WAS,76,2012-11-13,20121113WASCHA,1,1,CHA,92
CLE,101,2012-11-13,20121113CLEBKN,2,2,BKN,114
POR,103,2012-11-13,20121113PORSAC,1,1,SAC,86
SAS,84,2012-11-13,20121113SASLAL,7,7,LAL,82
DET,94,2012-11-14,20121114DETPHI,1,1,PHI,76
UTA,93,2012-11-14,20121114UTABOS,5,5,BOS,98
CHA,89,2012-11-14,20121114CHAMIN,6,6,MIN,87
IND,85,2012-11-14,20121114INDMIL,1,1,MIL,99
MEM,107,2012-11-14,20121114MEMOKC,2,2,OKC,97
NOH,96,2012-11-14,20121114NOHHOU,3,3,HOU,100
WAS,101,2012-11-14,20121114WASDAL,2,2,DAL,107
CHI,112,2012-11-14,20121114CHIPHX,4,4,PHX,106
ATL,88,2012-11-14,20121114ATLGSW,2,2,GSW,92
MIA,100,2012-11-14,20121114MIALAC,4,4,LAC,107
BOS,97,2012-11-15,20121115BOSBKN,4,4,BKN,102
NYK,104,2012-11-15,20121115NYKSAS,8,8,SAS,100
